id	filename	md5	size	state
24a9aa53-c9ec-474f-90b2-3d8b85004116	1660ada8-25f4-456a-b5fa-5a9315350d9c.FPKM.txt.gz	3115a3b798157a533e3ed5f79ddf1763	313208	released
2130d89b-f362-48d0-ad72-3a695fae4bc0	5e56dba0-ed28-4534-a257-03b3ce75c6bf.FPKM.txt.gz	e7eb3d4d78f88b98bef0999705ccefe2	335157	released
bd334e8b-2016-433f-bbad-108bf31a1c53	1b670e63-0ef0-4f7b-b6a4-b8f17e4dccef.FPKM.txt.gz	b0addcf4551da45875068985929a7199	308902	released
c75d527f-3ea5-4028-8cca-eb6ae9f2b682	a627b633-392e-4535-9bb3-b5b05ddb2b61.FPKM.txt.gz	ce94d6bcd434048c1a461d2048ed9151	307436	released
7d055eef-3f61-46a0-b1be-2e739b5a3d5a	58a186e8-ef21-4036-9ed2-8d1730f732ab.FPKM.txt.gz	e54edc8b5ed66484f9d905b67bdfd608	310858	released
0144f8ae-ebd9-421f-abfd-83da589a8660	a5d9ce27-ad5c-4d0a-9494-b0d75c00f80b.FPKM.txt.gz	160ec142de54ba1cd2fd99829044f74d	310533	released
e275e097-97ed-44f7-9da3-d7cf7380c794	f62bab31-8f71-41fc-8251-f39be9f969d2.FPKM.txt.gz	397a6f2ab922c3d5fa5108ef93e000b6	299072	released
3f063fb3-d9c6-4147-92d0-89f8826ae270	39cf924a-ed8c-4a0e-a7a6-beea001be23b.FPKM.txt.gz	2714089000561ab3770acabe2a66a291	309971	released
2c9dde69-15bb-4f5f-868b-278a42ac802d	f4c8fa93-8b3b-46a9-b62e-6e5113385b45.FPKM.txt.gz	098afc8b5b0a2a101dc37250c36eebda	316856	released
dc599076-39f2-4bee-8f5b-94ca04b6460c	9222c12e-5bd1-4b94-aa4c-e1b0d3a305d0.FPKM.txt.gz	aa1d2121982e6dc3dd0249f8308801c6	315626	released
96b0d48a-6d0e-4a45-990c-bfcbbc4abf1d	4dc2adbf-c06c-48be-a094-559e71bce001.FPKM.txt.gz	12481533fbfafa953086a0a8d3a82a13	324249	released
2d6166da-e790-4196-9c63-645fd2b593cf	17dea5b7-8d83-438a-afda-9c4ddbc2d409.FPKM.txt.gz	61fd3abf2e4cd787926f7d1c7f6e54c9	359484	released
7283c399-5c33-4f15-82b4-422b7f9c6f3c	a4f5deb6-61cc-469e-8bb2-7d49419247c5.FPKM.txt.gz	66c61a2249db7677201d3e9569a99c7e	322188	released
e5e9ce91-91fc-4277-a91b-27aa5577e900	0ed2c5cb-d00b-4e77-86ba-70f96f64cc05.FPKM.txt.gz	c16461d618a5a926aa802ec8326f0ec3	323027	released
dd09c96a-0b44-4871-9959-9106f7208dbd	206873d6-eb61-4cf7-93f4-ac8da672c90e.FPKM.txt.gz	18efc28aa9e91e8fb396e26663d40953	324325	released
0d3ddab0-4c6e-4f96-88dc-3c9813d9c292	2a3814fb-e9b1-404c-95da-db348ecfa14a.FPKM.txt.gz	26c6235c12822f41f1c26d2db233b095	518176	released
cc802aa8-e299-40c3-9539-a854ef950ff6	6f475a4d-53ea-4110-b80f-d519289d41f9.FPKM.txt.gz	72e32baf6980fcea151ec308bc43c24e	528215	released
85310996-75c9-4b5b-a16e-406cde0a3373	7d07636d-e4cb-4642-83ee-c04b21d15227.FPKM.txt.gz	de36a316ec17797fd89965ec3b0b43e3	534713	released
12476760-fad2-4f0b-b591-571db724bb94	2d030796-7518-4d42-8c56-d156630b754e.FPKM.txt.gz	b76c1acc25f89afb2afe4def66fcc765	317117	released
a8b87180-ae90-4cbb-aeba-4e8f2618a980	ca40d459-1531-4adc-8453-04352883b17e.FPKM.txt.gz	042a566612f24b754a6a2cd0d919270f	310689	released
3831010d-924b-46c5-821a-0bbefb42d03c	ae535dcb-354e-4f98-abb7-a02a1a7b643d.FPKM.txt.gz	1aa5228a6ef0b76b9b8200c9ff4bf768	315592	released
16063eb7-e859-41bc-bb04-ef8c7c50c530	7fbf623f-01b8-44cc-9063-dee82eab0d6a.FPKM.txt.gz	3a1f309018dbc7cf90082f6c17b70491	330985	released
2d6d4c12-fdc5-444c-aef2-5a007f7963f9	1854bc2e-4f56-44a2-8da5-408578cc3050.FPKM.txt.gz	761092f9ff106d0e5a65e80a0d281b1f	320711	released
10f60cf3-5ed9-4132-8725-2d0e019bb9a5	35c311e1-6660-4829-a4a8-0e5f14d5aecd.FPKM.txt.gz	36aa27eee5f9782bfdc0ce4bbe355613	324054	released
5bbdb339-d95f-4f7d-8dfd-e4151a71d51d	833a5d0c-8381-4db9-bb0f-91bf41eabd4d.FPKM.txt.gz	72c47236fa5004c52c3da2d26030803d	334203	released
b14fea9f-286b-499b-8586-565b00dc103c	49496340-80aa-48f9-b8c9-6b3109086764.FPKM.txt.gz	bee76d744e926bc649bebc69e87069a4	307366	released
d82e9dd3-cd59-4cf2-bf68-380509372717	222e168c-7060-4968-a523-d875d1578148.FPKM.txt.gz	283479c5610eefc1e4bbbad4547b549d	316901	released
28b57704-02ed-4a58-8da7-ff5d3fc5ffcb	f6ae9609-2723-49f4-b15c-7d9b87e195ef.FPKM.txt.gz	896ac707c9f415bae44ef43fb38440e1	317328	released
d4425aff-7ebd-4f61-810f-061fae60c34a	d3e49b48-4ca7-4a4e-919e-b2b3f2b1d670.FPKM.txt.gz	39c9feae324d701be46fa494bf650ea9	325113	released
9e930349-2924-481d-9337-7b858b947fdc	b1c1bba3-4663-45d2-8578-6e533ddc4f36.FPKM.txt.gz	981b8cb1ffb80c564e955509b2fd6575	369704	released
d6c50f23-0843-4bad-8582-3600f84bc2cd	19aa0de7-86bf-4954-b029-5b8c11810557.FPKM.txt.gz	f1a0202c31eead234579217fe2168be4	291012	released
683c2090-c760-4c9d-9f40-df793bf1ae88	cb73cedd-49c7-490d-8a4f-7f5a936490c8.FPKM.txt.gz	f4d366b8fe23cfae6b7d4a4846af351b	309520	released
bc30099e-bc13-43cc-bbf4-708fc5cda269	bab169f9-3dd1-4377-abd3-5f994ce10667.FPKM.txt.gz	686c3fd85874268bc47d19dd92b197de	317247	released
c9235e96-9dc0-4ee0-938d-64a311af54ab	15a1be65-aea3-46ea-87e2-a81132d5750f.FPKM.txt.gz	2f13a23d64978b08cdb449f2a6c5ae82	315145	released
38916c8a-d832-438f-9c79-c75aaf4f55d6	27600425-d87d-41d0-879e-950c33e1845a.FPKM.txt.gz	61a36c8bc2ba83b84794c98989270ee9	319606	released
309f21fb-dc7c-408d-a961-50b4f1e9f9fc	97bb7329-497c-4c38-9ff0-64af7c6eebcd.FPKM.txt.gz	b357f39ff6b8ff01ef99f957e1e153f0	308098	released
cd1cf96f-5127-4190-8850-e30a972a3d8a	8d0d3827-a3c1-48fa-99cc-9bec95e6a785.FPKM.txt.gz	4ec18ce4d3e213c7a39c416bcfd8338f	304444	released
7958115b-dafa-4ed1-959d-536697eb4ee0	174c14d0-cad9-48cc-a229-4440795362c8.FPKM.txt.gz	9cf189cad7856098eb0d54617e00a317	318225	released
